id,en,ar,d,cat,related
2989,low resolution,مَيْز منخفض,مختصره: lo-res‎. يَظهَرُ بتفاصيلَ خشنةٍ نسبياً. يُستعمَلُ في إطار نصٍّ وبيانيّاتٍ في إظهارٍ حاسوبي وطباعةٍ تسامتيةِ التوجّه raster-oriented. يمكِن مقارنةُ الطباعة ذات المَيْزِ المنخفض بالطباعة المصفوفية النقطية ذات 125 نقطة بالإنش أو أقل.,18|26,4000
2990,feed,1 يلقم ، 2 يلقم,"1- يَدفَعُ الورقةَ في مجراها ضمن الطابعة.
2- يُغذِّي تجهيزةَ تسجيلٍ بالوسائط الملائمة، كإدراج الأقراص داخل مِسْوَق الأقراص disk drive.
انظر: news feed.",18,
2991,feed scanner,ماسحة ذات ملقِّم,نوعٌ من الماسحات تُسحَبُ فيه الوسيطةُ الممسوحة - مثل صفحة من الورق - أمام رأس الماسحة الثابت.,18,1100
2992,feedback circuit,دارة تغذية راجعة,"أيُّ دارةٍ (أو نظام) تعيد جزءاً من خرْجها إلى دخْلها. ومن الأمثلة الشائعة لنظامٍ ذي تغذية راجعة - مع أنه ليس إلكترونياً تماماً - نظامُ التدفئة المركزية المنْزلية المتحكَّم فيه حرارياً. وهذه العمليةُ الذاتية التصحيح هي مثالٌ على تغذية راجعة سالبة، حيث يُغذِّي المنبعُ رجوعاً متغيِّرات الخرج بحيث يُقلب التغيير في الخرج. أما في التغذية الراجعة الموجبة، فإنّ الزيادةَ في الخرج تُغذّي المنبعَ رجوعاً، لتزيد الخرجَ زيادةً إضافية، فينتج عن ذلك أثر الكرة الثلجية snowballing effect. ومثالُ التغذية الراجعة الموجبة غير المرغوب فيها، ""الصفير screech"" الذي يحدث عندما يكون مصواتُ microphone نظام مخاطبة للعموم قريباً جداً من المجهار.",25,
2993,female connector,مِربط مؤنث,مربطٌ يحوي مُتَلَقِّياً receptacles (أو أكثر) لإدخال المغارز. يَتضمّن اسمُ المربط المؤنث غالباً الحرفَ F (أنثى)، أو S (مقبس)، أو J (ناشبة)، أو R (متلقٍّ). فمثلاً، يمكِن عنونةُ مربط مؤنث DB-25 بـ DB-25S أو DB-25F. (لاحظ أنّ الحرف F يمكِن أن يشير إلى مربط مؤنث، ومع ذلك فإنّه لا يتضمَّن هذا المعنى في المربط F، الذي هو نوع من مرابط الكبل المحوري).,,
2994,analog-to-digital converter,مبدّل تماثلي/رقْمي,مختصره: ADC. تجهيزةٌ تُبدِّل الإشارةَ ذات التغيرات المستمرة الآتية من أدواتِ مراقبة، مثل الصوت أو الجهد، إلى رِماز اثناني binary code لاستعماله في الحاسوب.,3|23,730
2995,analysis,تحليل,تقييمُ وضعٍ أو مشكلةٍ، يتضمّن المراجعةَ من عدةِ جوانبَ ووجهاتِ نظر. وفي الحوسبة المعلوماتية: يتطرق التحليلُ إلى خصائصَ مثل التحكّم في سيرورةِ العمل، والتحكم في الأخطاء، وتقييم الأداء. وتُقسَّم المشكلةُ غالباً إلى مكوِّناتٍ أصغرَ يمكِن التعاملُ معها بسهولةٍ أكبر.,11|25,891|2523|4671
2996,analysis graphics,بيانيات التحليل,انظر: presentation graphics.,5,
2997,Analytical Engine,الآلة التحليلية,آلةُ حسابٍ ميكانيكية، صمّمها الرياضيُّ البريطاني Charles Babbage في عام 1833، ولكنها لم تُستكمل. وكانتْ أولَ حاسوبٍ رقْمِيٍّ متعددِ الاستخدامات.,1,6162
2998,anchor,1 مِرساة ؛ 2 مِرساة,"1- رِمازٌ مَصاغِيٌّ format code في وثيقةِ ناشرٍ مكتبِيٍّ أو معالجِ نصوصٍ، وظيفتُه إبقاءُ عنصرٍ في الوثيقة، كشكلٍ أو عنوانٍ أو لصيقة label، مرافقة للشكل، في موضعٍ معيَّنٍ من الوثيقة. ويُربَط الغرضُ المُرسَى عموماً بعنصرٍ آخرَ من الوثيقة كجزءٍ من نصٍّ (غالباً فقرة) أو رسمٍ بياني، أو موضعٍ معيّنٍ من الوثيقة. وعندما يُضاف نصٌّ أو غرضٌ آخرُ إلى الوثيقة ينْزاح الغرضُ المُرسَى نسبةً إلى الغرضِ المرتبط به، أو يبقى ثابتاً في موضعه.
2- أَمارةٌ tag في وثيقةِ HTML وظيفتُها تعريفُ مقطعٍ من نصٍّ أو قُونَةٍ icon أو عنصرٍ آخرَ، كوصلةٍ ترتبط بعنصرٍ آخرَ في الوثيقة نفسِها، أو في وثيقةٍ أخرى أو ملفٍّ آخر.
انظر: hyperlink.",15|26,
2999,ancillary equipment,مُعَدّات محيطية,انظر: peripheral.,18,
3000,AND,قِران,عمليةٌ منطقيةٌ تَضمُّ قيمتَيْ بِتَّيْن (0،1) أو قيمتَيْن منطقيتين (بوليانيتين) (false،true)، تُعطِي بالنتيجة القيمةَ 1 (true) إذا كانتْ كلتا قيمتَي الدخل 1 (true)، وتُعطي القيمةَ 0 (false) في الحالات الأخرى.,1,
3001,AND gate,بوابة القِران,دارةٌ رقْميةٌ يأخذ خرجُها القيمةَ 1، فقط عندما تكون قيمُ كل مداخلها مساويةً لـ 1.,1,4869
3002,Andrew File System,نظام ملفات Andrew,انظر: AFS.,9|15,
3003,angle bracket,قوس زاويّ,الرمز > أو الرمز <.,26,
3004,ferric oxide,أكسيد الحديدي,المادةُ الكيميائيةُ Fe2O3. أحدُ أكاسيد الحديد، يُستعمَلُ مع وسيط رابط في الطلاء المغنطيسي للأقراص والشرائط لخزن المعطيات.,,
3005,film recorder,مسجل فلم,تجهيزةٌ للتسجيل على فلم 35 مم الصورَ المعروضة على شاشة الحاسوب.,14,
3006,fingerprint reader,قارئ بصمات [الأصابع],ماسحةٌ تَقرأ بصمات الإنسان لمقارنتها بقاعدة معطيات تحوي صورَ بصمات مخزَّنة.,18,
3007,flat-panel display,مظهار ذو لوحة مسطّحة,مظهارٌ فيديوي بعمقٍ مكاني ضحل، معتمد على تقانة مختلفة عن تقانة صمام الأشعة المهبطية CRT. تُستعمَلُ هذه المظاهيرُ عادةً في الحواسيب الحمولة. والأنواعُ الشائعة للمظاهير ذات اللوحة المسطحة هي: المظهارُ المضاء كهربائياً، والمظهارُ بالتفريغ في الغاز، والمظهارُ LCD.,18,
3008,flatbed plotter,راسمة [ذات منصّة] مسطّحة,راسمةٌ يُمسَكُ فيها الورقُ على منصة مسطّحة، حيث يتحرّك قلمٌ على طول المحورين معاً، ويَتجوّل على الورقة ليرسم صورة. هذه الطريقة هي أدق بقليل من التي تَستعملها الراسماتُ ذات الأسطوانة حيث تحرِّك الورقةَ تحت القلم، ولكنها تتطلب مساحة أكبر. ويمكن أيضاً للراسمات المسطحة أن تتقبل أنواعاً متعددةً من المواد، مثل الورق الرقّي vellum، حيث لا حاجة إلى أن تكون المواد مرنة.,18,1996
3009,flatbed scanner,ماسحة [ذات منصّة] مسطّحة,ماسحةٌ ذاتُ سطح شفّاف مسطّح يمسك بالصورة المراد مسحها، (كتاب أو وثيقة ورقية). يتحرّك رأسُ المسح الموجود تحت السطح عبر الصورة. تستطيع بعضُ الماسحات المسطحة أيضاً نسْخ وسائط شفافة، مثل الشفائف slides.,18,
3010,flicker,رفيف,تَقلّبٌ سريعٌ ومرئيٌّ في صورة الشاشة، كما في التلفاز أو مرقاب الحاسوب. يَحدثُ الرفيفُ عندما تُنعش (تُحَدَّث) الصورةُ بمعدل أقل من اللازم، بحيث لا تلاحظ العين مستوى مستقراً من السطوع. في التلفاز ومظاهير المسح التسامتي، لا يلاحَظ الرفيفُ إذا كان معدل الإنعاش 50 إلى 60 مرة بالثانية. وفي المظاهير المتشابكة (حيث تُجدَّد أسطرُ المسح الفرديةِ الترقيم في عملية المسح الأولى، والأسطر الزوجية الترقيم في عملية المسح التالية)، يبلغ معدّل الإنعاش الفعلي دون رفيف 50 إلى 60 مرة بالثانية، فتبدو الأسطر ممروجة merged، مع أن كلَّ سطر يُحدَّثُ في الواقع بمعدّل 25 إلى 30 مرة بالثانية فقط.,5,
3011,font cartridge,حافظة (كِنانة) بنوط,وحدةٌ مقبسيّة تتوفَّر في بعض الطابعات، تحوي بنوطاً بعدّة أنماط ومقاسات مختلفة. تمكّن حافظاتُ البنوطِ (مثل البنوط القابلة للإتيان بها) الطابعةَ من إنتاج محارفَ ذاتِ أنماط ومقاسات مختلفة عن تلك المنشأة بالبنوط المضمَّنة فيها.,18,4039
3012,form,1 استمارة ، 2 استمارة ، 3 شكل ، 4 شكل,"1- وثيقةٌ بنيويةٌ ذات فراغات مخصّصة لإدخال المعلومات، وغالباً ما تحتوي أيضاً على رِمَازٍ code خاص.
2- في بعض التطبيقات (خاصةً قواعد المعطيات): نافذةٌ بنيوية، أو صندوقٌ، أو أيُّ عنصرِ عرضٍ مكتفٍ بذاته، ذو مناطق معرَّفة سلفاً لإدخال المعلومات وتغييرها. وهو ""مرشحٌ filter"" مرئيٌ للمعطيات التحتية التي يمثّلها، ويوفِّر عموماً مزايا تنظيم أفضل للمعطيات وسهولة أكبر في الإظهار.
3- في الوسائط الضوئية: مَصَاغَةُ format تخزينِ معطياتٍ تُستعمَل في تقانة الأقراص المتراصة.
4- في البرمجة: لغةٌ مترفِّعة metalanguage (مثل نموذج Backus-Naur) تُستعمل لوصف التراكيب النحوية للّغة.",7,5333
3013,form feed,قفز صفحة,"مختصره: FF. أمرُ طباعةٍ يأمر الطابعةَ لتتحرّك إلى بداية الصفحة التالية. قيمتُه العشرية في ASCII هي 12 (وفي النظام الست عشري 0C). ولما كان هدفُه بدءَ الطباعة على صفحة جديدة، فإنه يُعرَف أيضاً بمحرف ""لفظ الصفحة page-eject"".",18,
3014,freeze-frame video,[عرض] فيديو ذو صورة مجمّدة,فيديو لا تتغيّر الصورةُ فيه إلا مرةً كلَّ بضع ثوان.,14,
